Category;png links;figure;;;;
Oncologic Disorders;wordcloud_genereviews/Multiple endocrine neoplasia type 1 (MEN1).png;figures/MEN1.png;;;;
Oncologic Disorders;wordcloud_genereviews/Dyskeratosis congenita.png;;;;;
Neurological disorders;wordcloud_genereviews/Fragile X.png;figures/Fragile_X.png;;;;
Oncologic Disorders;wordcloud_genereviews/Familial Adenomatous Polyposis.png;figures/FAP.png;;;;
Biochemical Disorders;wordcloud_genereviews/Urea cycle disorders.png;figures/Urea_Cycle.jpg;;;;
Neurological disorders;wordcloud_genereviews/Neurofibromatosis type I.png;figures/NF1.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Achondroplasia.png;figures/Achrondroplasia.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Usher syndrome.png;figures/Usher.png;;;;
Hematologic Disorders;wordcloud_genereviews/Alpha thalassemia.png;figures/Thalamsemia.jpg;;;;
Connective Tissue Disorders;;figures/EDS classic.jpeg;;;;
Multiple Congenital Anomalies;;figures/CHARGE.jpeg;;;;
Dermatological Disorders;wordcloud_genereviews/Incontinentia pigmenti.png;figures/Incontinentia Pigmenti.jpeg;;;;
Neurological disorders;wordcloud_genereviews/Angelman syndrome.png;figures/AS.jpeg;;;;
Cardiovascular Disease;wordcloud_genereviews/Alagille syndrome.png;figures/Alagille.jpeg;;;;
Multiple Congenital Anomalies;;figures/1p36.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Hermansky-Pudlak Syndrome.png;figures/HPS.png;;;;
Mitochondrial Disorders;wordcloud_genereviews/Mitochondrial DNA Deletion Syndromes.png;;;;;
Disorders of the Immune System;wordcloud_genereviews/WAS-related disorders.png;figures/WAS-related disorders.png;;;;
Connective Tissue Disorders;wordcloud_genereviews/Loeys-Dietz Syndrome (LDS).png;figures/Loeys-Dietz Syndrome.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Hereditary Multiple Osteochondromas.png;figures/Osteochondromas.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Fryns syndrome.png;figures/Fryns.jpeg;;;;
